Date,Province,New Cases,New Deaths,Total Cases,Total Deaths,Total Recovered
3/1/2020,DKI Jakarta,2,0,39,20,75
3/2/2020,DKI Jakarta,2,0,41,20,75
3/2/2020,Riau,1,0,1,0,1
3/3/2020,DKI Jakarta,2,0,43,20,75
3/3/2020,Jawa Barat,1,1,1,1,60
3/3/2020,Riau,0,0,1,0,1
3/4/2020,DKI Jakarta,2,0,45,20,75
3/4/2020,Jawa Barat,1,0,2,1,60
3/4/2020,Riau,0,0,1,0,1
3/5/2020,DKI Jakarta,0,1,45,21,75
3/5/2020,Jawa Barat,1,0,3,1,60
3/5/2020,Riau,0,0,1,0,1
3/6/2020,Banten,1,0,1,5,111
3/6/2020,DKI Jakarta,0,0,45,21,75
3/6/2020,Jawa Barat,1,0,4,1,60
3/6/2020,Riau,0,0,1,0,1
3/7/2020,Banten,0,0,1,5,111
3/7/2020,DKI Jakarta,0,2,45,23,75
3/7/2020,Jawa Barat,0,0,4,1,60
3/7/2020,Riau,0,0,1,0,1
3/8/2020,Banten,1,0,2,5,114
3/8/2020,DKI Jakarta,0,0,45,23,75
3/8/2020,Jawa Barat,0,0,4,1,60
3/8/2020,Jawa Tengah,1,1,1,10,11
3/8/2020,Riau,0,0,1,0,1
3/9/2020,Banten,0,0,2,5,114
3/9/2020,DKI Jakarta,0,1,45,24,75
3/9/2020,Jawa Barat,0,0,4,1,60
3/9/2020,Jawa Tengah,0,0,1,10,11
3/9/2020,Riau,0,0,1,0,1
3/10/2020,Banten,0,0,2,5,122
3/10/2020,DKI Jakarta,0,0,45,24,75
3/10/2020,Jawa Barat,0,0,4,1,60
3/10/2020,Jawa Tengah,0,0,1,10,11
3/10/2020,Riau,0,0,1,0,1
3/10/2020,Sulawesi Tenggara,1,0,1,0,0
3/11/2020,Bali,1,1,1,1,3
3/11/2020,Banten,0,0,2,5,130
3/11/2020,DKI Jakarta,0,0,45,24,75
3/11/2020,Jawa Barat,0,1,4,2,60
3/11/2020,Jawa Tengah,2,1,3,11,12
3/11/2020,Riau,0,0,1,0,1
3/11/2020,Sulawesi Tenggara,0,0,1,0,0
3/12/2020,Bali,0,0,1,1,3
3/12/2020,Banten,0,1,2,6,132
3/12/2020,DKI Jakarta,2,1,47,25,79
3/12/2020,Jawa Barat,1,0,5,2,60
3/12/2020,Jawa Tengah,0,0,3,11,12
3/12/2020,Riau,0,0,1,0,1
3/12/2020,Sulawesi Tenggara,0,0,1,0,0
3/13/2020,Bali,0,0,1,1,3
3/13/2020,Banten,1,1,3,7,132
3/13/2020,DKI Jakarta,4,1,51,26,82
3/13/2020,Jawa Barat,4,0,9,2,61
3/13/2020,Jawa Tengah,0,0,3,11,12
3/13/2020,Riau,0,0,1,0,1
3/13/2020,Sulawesi Tenggara,0,0,1,0,0
3/14/2020,Bali,0,0,1,1,3
3/14/2020,Banten,1,0,4,7,134
3/14/2020,DKI Jakarta,2,1,53,27,83
3/14/2020,Jawa Barat,0,0,9,2,61
3/14/2020,Jawa Tengah,2,0,5,11,13
3/14/2020,Kalimantan Timur,3,0,3,0,3
3/14/2020,Riau,0,0,1,0,1
3/14/2020,Sulawesi Tenggara,0,0,1,0,0
3/15/2020,Bali,0,0,1,1,3
3/15/2020,Banten,1,0,5,7,139
3/15/2020,DKI Jakarta,8,3,61,30,83
3/15/2020,Jawa Barat,0,0,9,2,63
3/15/2020,Jawa Tengah,1,0,6,11,14
3/15/2020,Kalimantan Timur,2,0,5,0,3
3/15/2020,Riau,0,0,1,0,1
3/15/2020,Sulawesi Tenggara,0,0,1,0,0
3/16/2020,Bali,0,0,1,1,3
3/16/2020,Banten,1,0,6,7,143
3/16/2020,DKI Jakarta,2,3,63,33,83
3/16/2020,Daerah Istimewa Yogyakarta,1,0,1,0,2
3/16/2020,Jawa Barat,0,0,9,2,65
3/16/2020,Jawa Tengah,1,0,7,11,14
3/16/2020,Kalimantan Timur,1,0,6,0,3
3/16/2020,Riau,0,0,1,0,1
3/16/2020,Sulawesi Tenggara,2,0,3,0,0
3/17/2020,Bali,0,0,1,1,3
3/17/2020,Banten,0,1,6,8,146
3/17/2020,DKI Jakarta,2,1,65,34,83
3/17/2020,Daerah Istimewa Yogyakarta,0,0,1,0,2
3/17/2020,Jawa Barat,11,0,20,2,65
3/17/2020,Jawa Tengah,1,0,8,11,15
3/17/2020,Kalimantan Timur,1,0,7,0,3
3/17/2020,Riau,0,0,1,0,1
3/17/2020,Sulawesi Tenggara,0,0,3,0,0
3/17/2020,Sumatera Utara,1,1,1,1,10
3/18/2020,Bali,0,0,1,1,3
3/18/2020,Banten,0,1,6,9,147
3/18/2020,DKI Jakarta,1,1,66,35,83
3/18/2020,Daerah Istimewa Yogyakarta,0,0,1,0,2
3/18/2020,Jawa Barat,4,1,24,3,67
3/18/2020,Jawa Tengah,3,1,11,12,15
3/18/2020,Jawa Timur,7,1,18,33,337
3/18/2020,Kalimantan Timur,0,0,7,0,3
3/18/2020,Riau,0,0,1,0,1
3/18/2020,Sulawesi Tenggara,0,0,3,0,0
3/18/2020,Sumatera Utara,0,0,1,1,10
3/19/2020,Bali,1,1,2,2,3
3/19/2020,Banten,0,1,6,10,150
3/19/2020,DKI Jakarta,2,0,68,35,84
3/19/2020,Daerah Istimewa Yogyakarta,0,0,1,0,2
3/19/2020,Jawa Barat,5,1,29,4,68
3/19/2020,Jawa Tengah,2,0,13,12,15
3/19/2020,Jawa Timur,3,0,21,33,337
3/19/2020,Kalimantan Timur,0,0,7,0,3
3/19/2020,Kepulauan Riau,1,1,1,1,0
3/19/2020,Riau,0,0,1,0,1
3/19/2020,Sulawesi Selatan,2,0,2,0,5
3/19/2020,Sulawesi Tenggara,0,0,3,0,0
3/19/2020,Sumatera Utara,0,0,1,1,10
3/20/2020,Bali,0,0,2,2,3
3/20/2020,Banten,0,3,6,13,153
3/20/2020,DKI Jakarta,5,3,73,38,85
3/20/2020,Daerah Istimewa Yogyakarta,1,0,2,0,3
3/20/2020,Jambi,1,0,1,0,4
3/20/2020,Jawa Barat,16,4,45,8,68
